run_id,parameter,value,objective,final_score,total_score,yearly_consistency,profitable_years,evaluated_years,worst_year_profit_factor,worst_year_return_pct,trades,wins,losses,win_rate_pct,profit_factor,net_profit,return_pct,max_drawdown_pct,average_trade,average_trades_per_month,minimum_trades_per_month,indicator_cache_hit,signal_cache_hit,adx_min,adx_max,l1_rsi_long_max,l1_rsi_short_min,min_rsi_difference,pivot_left_bars,l1_right_bars,l2_right_bars,stop_loss_pct,tp1_pct,tp2_pct
24,exit.tp1_pct,3.0,1.1097936719425459,1.1097936719425459,1.3872420899281823,0.8,4,5,0.989815245793985,-1.3451384081006221,722,195,527,27.008310249307478,1.1698516674219375,801.1766301769139,80.1176630176914,17.878993136673476,1.1096629226827064,13.37037037037037,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,3.0,4.0
19,risk.stop_loss_pct,1.2,1.105704542151328,1.105704542151328,1.105704542151328,1.0,5,5,1.0299689889311097,1.7399912020554873,592,263,329,44.42567567567568,1.1286565033834814,478.6729889906305,47.86729889906305,17.25807836838354,0.8085692381598488,10.962962962962964,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,1.2,2.0,4.0
15,entry.l1_rsi_short_min,72.0,0.8999185618906247,0.8999185618906247,1.1248982023632808,0.8,4,5,0.9867540443500177,-0.6800940088675949,616,238,378,38.63636363636363,1.084837162873505,290.6246791523387,29.06246791523387,15.833753309211238,0.4717933103122381,11.407407407407407,2,True,False,20.0,30.0,30.0,72.0,10.0,3,3,1,1.0,2.0,4.0
14,entry.l1_rsi_short_min,70.0,0.8607307583982208,0.8607307583982208,1.0759134479977759,0.8,4,5,0.7862055221873109,-11.77099401206502,576,221,355,38.36805555555556,1.0975192558043922,325.83518393298436,32.58351839329844,14.903302070368548,0.5656860832169868,10.666666666666666,2,True,False,20.0,30.0,30.0,70.0,10.0,3,3,1,1.0,2.0,4.0
28,exit.tp2_pct,6.0,0.7752298506487029,0.7752298506487029,1.2920497510811715,0.6,3,5,0.9270188064429722,-3.690154074852059,670,236,434,35.223880597014926,1.153873694272998,541.3421466986426,54.134214669864264,16.436587736092235,0.8079733532815562,12.407407407407407,2,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,6.0
30,exit.tp2_pct,8.0,0.7553262849722074,0.7553262849722074,1.2588771416203457,0.6,3,5,0.9462075138355323,-2.4189350796301166,619,221,398,35.70274636510501,1.1646740197939367,551.772682729423,55.17726827294229,12.691140472630522,0.8913936716145767,11.462962962962964,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,8.0
22,exit.tp1_pct,1.0,0.7498060010008231,0.7498060010008231,1.2496766683347051,0.6,3,5,0.9543467612075575,-1.7158450027189303,720,366,354,50.83333333333333,1.0543470799648564,133.08830967422324,13.308830967422324,17.690195556305312,0.1848448745475323,13.333333333333334,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,1.0,4.0
27,exit.tp2_pct,5.0,0.7475768135912862,0.7475768135912862,1.2459613559854772,0.6,3,5,0.8948664898612427,-5.0937261776065395,689,238,451,34.542815674891145,1.0897579869953473,305.2424847210059,30.52424847210059,17.0291967770108,0.4430224741959447,12.75925925925926,2,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,5.0
29,exit.tp2_pct,7.0,0.742931626785963,0.742931626785963,1.238219377976605,0.6,3,5,0.8693185690697224,-6.263734917532858,638,225,413,35.26645768025078,1.1261874065954365,424.85858700265953,42.48585870026596,13.833935953500912,0.6659225501609084,11.814814814814815,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,7.0
7,entry.l1_rsi_long_max,25.0,0.6651461184450458,0.6651461184450458,1.1085768640750764,0.6,3,5,0.9233707503100457,-8.19484792134413,740,276,464,37.2972972972973,1.0030870036522515,11.587689014234854,1.1587689014234854,25.32667466081294,0.015659039208425478,13.703703703703704,4,True,False,20.0,30.0,25.0,75.0,10.0,3,3,1,1.0,2.0,4.0
13,entry.l1_rsi_short_min,68.0,0.5591375645602347,0.5591375645602347,0.9318959409337244,0.6,3,5,0.6880143237881508,-15.0768184699967,533,202,331,37.89868667917448,1.082238675560929,249.8938024066884,24.98938024066884,19.223103126113095,0.4688439069543872,9.87037037037037,2,True,False,20.0,30.0,30.0,68.0,10.0,3,3,1,1.0,2.0,4.0
12,entry.l1_rsi_short_min,65.0,0.47916634609896114,0.47916634609896114,0.798610576831602,0.6,3,5,0.6042547111506147,-15.162506598486164,440,174,266,39.54545454545455,1.1147240350674879,289.9973545273737,28.999735452737376,18.588638032562237,0.6590848966531221,8.148148148148149,2,True,False,20.0,30.0,30.0,65.0,10.0,3,3,1,1.0,2.0,4.0
11,entry.l1_rsi_long_max,35.0,0.3476436671963152,0.3476436671963152,0.8691091679907879,0.4,2,5,0.9142832730807553,-4.2435079710003505,538,208,330,38.66171003717472,1.058399574995329,160.3735665797813,16.03735665797813,23.684561656410356,0.2980921311891846,9.962962962962964,2,True,False,20.0,30.0,35.0,75.0,10.0,3,3,1,1.0,2.0,4.0
20,risk.stop_loss_pct,1.5,0.3085909503087292,0.3085909503087292,0.771477375771823,0.4,2,5,0.9374681768661242,-4.255452459446555,529,255,274,48.20415879017013,1.023857568233443,76.81557042830707,7.681557042830707,28.780653890278003,0.1452090178228867,9.796296296296296,2,True,False,20.0,30.0,30.0,75.0,10.0,3,3,1,1.5,2.0,4.0
2,entry.adx_range,10-20,0.2564976187290611,0.2564976187290611,0.6412440468226528,0.4,2,5,0.6458688398262579,-10.182836970687058,432,158,274,36.574074074074076,0.9650236343560097,-68.6079089895091,-6.86079089895091,23.091975851584085,-0.15881460414238216,8.0,2,False,False,10.0,20.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
4,entry.adx_range,30-40,0.21349457099149652,0.21349457099149652,0.5337364274787413,0.4,2,5,0.6530004974364907,-13.60002787817645,524,186,338,35.49618320610687,0.88257071916959,-251.2046699283997,-25.120466992839972,42.294654334937476,-0.47939822505419794,9.703703703703704,3,False,False,30.0,40.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
21,risk.stop_loss_pct,2.0,0.09768076454258671,0.09768076454258671,0.48840382271293353,0.2,1,5,0.8319307462537804,-12.11893303826636,472,256,216,54.23728813559322,0.9257145582805117,-214.22998278488598,-21.4229982784886,44.11053318627885,-0.4538770821713686,8.74074074074074,1,True,False,20.0,30.0,30.0,75.0,10.0,3,3,1,2.0,2.0,4.0
5,entry.adx_range,40-50,0.0,0.0,0.195624932357741,0.0,0,5,0.5215242062557288,-16.846545079078474,306,90,216,29.411764705882355,0.6204439411306317,-459.26282253532554,-45.926282253532555,48.48066664952895,-1.5008588971742665,5.666666666666667,1,False,False,40.0,50.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
6,entry.adx_range,50-60,-inf,0.02793680605509082,0.1396840302754541,0.2,1,5,0.5283514655199558,-6.168082777108299,111,33,78,29.72972972972973,0.7525035887719452,-134.7621455739045,-13.476214557390447,16.38480494027053,-1.2140733835486892,2.642857142857143,1,False,False,50.0,60.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
1,entry.adx_range,0-10,-inf,0.010395670980900265,0.05197835490450132,0.2,1,5,0.0,-2.9387083550663866,40,13,27,32.5,0.7054989606785288,-56.719446786328085,-5.6719446786328085,7.904976120535284,-1.4179861696582021,1.6,1,False,False,0.0,10.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
