run_id,year,trades,wins,losses,win_rate_pct,profit_factor,net_profit,return_pct,max_drawdown_pct,score
11,2024,134,46,88,34.32835820895522,0.9300889614160933,-46.771082859596646,-4.677108285959665,9.983260077141892,1.1218959203418433
11,2025,114,50,64,43.859649122807014,1.3629738166626626,175.31447836321618,17.531447836321618,6.113163347379897,1.4588044209895834
11,2026,63,27,36,42.857142857142854,1.0552782333049928,20.50581041476677,2.050581041476677,10.272862694193602,0.5965286980941911
12,2022,117,41,76,35.04273504273504,0.8592540348155279,-91.01147153437817,-9.101147153437818,15.850230268135448,0.8459805412995556
12,2023,70,26,44,37.142857142857146,1.1740116153338596,55.43249634290349,5.543249634290349,5.572258012091208,0.776014861324876
12,2024,112,51,61,45.535714285714285,1.388932662877427,221.3909179670714,22.13909179670714,9.35579805272446,1.4100653591923213
12,2025,116,47,69,40.51724137931034,1.0582773192331094,38.48933685626192,3.848933685626192,12.397665243483011,1.0754077422223836
12,2026,48,16,32,33.33333333333333,0.9204152323335916,-24.149801573591958,-2.414980157359196,11.821963755575759,0.3895699570398316
13,2022,147,50,97,34.01360544217687,0.8396935661537552,-130.45202378902331,-13.045202378902331,20.259061049533525,0.9842819149177614
13,2023,73,28,45,38.35616438356164,1.1451386510630146,48.142461649219854,4.814246164921985,8.4741207948263,0.765111699507694
13,2024,138,58,80,42.028985507246375,1.3428230810269213,235.16395815503245,23.516395815503245,5.210664250419996,1.756537248740499
13,2025,138,54,84,39.130434782608695,1.0463602948198059,34.72474989822212,3.4724749898222123,14.13429378589542,1.2398812262335979
13,2026,65,20,45,30.76923076923077,0.8871960534329525,-45.08322445550856,-4.508322445550856,10.655526942382108,0.5152294153029748
14,2022,148,54,94,36.486486486486484,0.9580138682185654,-33.103784087092265,-3.310378408709227,12.650836035197793,1.2384893147425529
14,2023,76,29,47,38.15789473684211,1.1917775264229737,71.91306756374927,7.191306756374926,8.239836982869955,0.8311185207959031
14,2024,148,59,89,39.86486486486486,1.1617140099013552,131.1867373002032,13.11867373002032,8.288928357650667,1.5768221444917647
14,2025,152,58,94,38.15789473684211,1.0154522101677204,12.494955382534911,1.2494955382534911,16.936186219202494,1.2820794659877957
14,2026,75,25,50,33.33333333333333,0.9202783147908488,-36.12834671551202,-3.6128346715512025,9.541132419621572,0.624355006610694
15,2022,157,57,100,36.30573248407643,0.9824890608727564,-14.876363993006727,-1.4876363993006727,14.46281837427871,1.3194177203489696
15,2023,83,30,53,36.144578313253014,1.0297238263706905,12.453786331693298,1.2453786331693297,11.969049210752784,0.7523748101317549
15,2024,165,66,99,40.0,1.1225658021602265,106.56744616782308,10.656744616782309,10.52268394670888,1.657328888663363
15,2025,164,66,98,40.243902439024396,1.048319866406617,39.20077665120533,3.9200776651205334,17.010798125345257,1.4267873559678488
15,2026,76,28,48,36.84210526315789,0.9993237661491343,-0.3018522667090835,-0.03018522667090835,8.853113705565045,0.6922478976023646
16,2022,178,68,110,38.20224719101123,1.004843467855767,4.563564400036498,0.4563564400036498,15.949434891637374,1.5033463714732878
16,2023,97,34,63,35.051546391752574,1.0295858657682961,15.060242487598998,1.5060242487598998,11.431360713546118,0.8845334858487364
16,2024,166,65,101,39.1566265060241,1.106859917746979,96.52460177049464,9.652460177049464,10.789765657049957,1.6391376619406381
16,2025,149,65,84,43.624161073825505,1.2972436487948686,226.0926135556639,22.60926135556639,10.02457766344552,1.7391286730885958
16,2026,77,32,45,41.55844155844156,1.126336837642549,67.41447403609675,6.741447403609675,12.122150062982948,0.7621464588960243
17,2022,198,77,121,38.88888888888889,1.028605364667707,30.80763243433134,3.080763243433134,15.695062568041568,1.7169869160276587
17,2023,106,38,68,35.84905660377358,0.9502516872176053,-31.215369211371964,-3.1215369211371966,15.888720583696415,0.8472249829013635
17,2024,184,70,114,38.04347826086957,1.0316576123893386,32.25094642597428,3.225094642597428,11.735971250578885,1.675471931734648
17,2025,158,65,93,41.139240506329116,1.1331621362165636,102.55330782792035,10.255330782792035,12.360716900818796,1.5690903725998706
17,2026,89,33,56,37.07865168539326,0.8978432683827035,-58.15789885366195,-5.815789885366194,15.041007808612134,0.6788907471257848
18,2022,190,73,117,38.421052631578945,0.964776045354229,-35.59706623762298,-3.559706623762298,18.476928721065224,1.4943786199588107
18,2023,100,36,64,36.0,0.975612528815855,-12.710316519267032,-1.271031651926703,12.40062152909899,0.854630511526929
18,2024,177,68,109,38.4180790960452,1.0908919964414077,84.400553545845,8.4400553545845,9.860705642618187,1.7404805555943883
18,2025,156,65,91,41.66666666666667,1.1361521590453727,102.42141329761773,10.242141329761774,11.942977416383723,1.5607203507087313
18,2026,85,32,53,37.64705882352941,0.9670807310991063,-17.825677097567578,-1.7825677097567576,14.170414579586213,0.7055351748556091
19,2022,178,68,110,38.20224719101123,1.004843467855767,4.563564400036498,0.4563564400036498,15.949434891637374,1.5033463714732878
19,2023,97,34,63,35.051546391752574,1.0295858657682961,15.060242487598998,1.5060242487598998,11.431360713546118,0.8845334858487364
19,2024,166,65,101,39.1566265060241,1.106859917746979,96.52460177049464,9.652460177049464,10.789765657049957,1.6391376619406381
19,2025,149,65,84,43.624161073825505,1.2972436487948686,226.0926135556639,22.60926135556639,10.02457766344552,1.7391286730885958
19,2026,77,32,45,41.55844155844156,1.126336837642549,67.41447403609675,6.741447403609675,12.122150062982948,0.7621464588960243
20,2022,163,63,100,38.65030674846626,0.9980407597688776,-1.6045565410084066,-0.16045565410084064,17.499176997344577,1.342128700359385
20,2023,90,33,57,36.666666666666664,1.1392526721521294,64.19777374825206,6.419777374825205,10.97476026438938,0.912800180320005
20,2024,158,60,98,37.9746835443038,1.0401499192161683,33.430700206857345,3.3430700206857344,11.030520438066937,1.4621572322689775
20,2025,143,61,82,42.65734265734265,1.236561309331627,169.55561959054455,16.955561959054457,10.444206736288878,1.5835995743626219
20,2026,76,33,43,43.42105263157895,1.1785941188653963,88.36344881889481,8.836344881889481,10.143668611129533,0.8048714922548457
21,2022,197,69,128,35.025380710659896,0.8366969995018916,-163.01848984316837,-16.301848984316834,22.53457932006354,1.276857175446676
21,2023,110,37,73,33.63636363636363,0.9188321111283145,-39.38416205639327,-3.938416205639327,11.418389654988864,0.8953079084449755
21,2024,186,66,120,35.483870967741936,0.8942628424548746,-76.59808835432713,-7.659808835432713,13.207014610394681,1.4436527978455431
21,2025,154,65,89,42.2077922077922,1.1561223536754943,80.51683374325037,8.051683374325037,8.257091016082443,1.6334168291598608
21,2026,87,33,54,37.93103448275862,0.9617946067492155,-13.58514498116505,-1.358514498116505,7.059733095830214,0.7776881928868891
22,2022,178,68,110,38.20224719101123,1.004843467855767,4.563564400036498,0.4563564400036498,15.949434891637374,1.5033463714732878
22,2023,97,34,63,35.051546391752574,1.0295858657682961,15.060242487598998,1.5060242487598998,11.431360713546118,0.8845334858487364
22,2024,166,65,101,39.1566265060241,1.106859917746979,96.52460177049464,9.652460177049464,10.789765657049957,1.6391376619406381
22,2025,149,65,84,43.624161073825505,1.2972436487948686,226.0926135556639,22.60926135556639,10.02457766344552,1.7391286730885958
22,2026,77,32,45,41.55844155844156,1.126336837642549,67.41447403609675,6.741447403609675,12.122150062982948,0.7621464588960243
23,2022,173,67,106,38.72832369942196,1.0672406894581192,64.04835027449525,6.404835027449525,13.014619666606162,1.6060340349403317
23,2023,96,34,62,35.41666666666667,0.954558778784839,-25.06801191288408,-2.506801191288408,16.108551144285556,0.7687614621139349
