open_time,open,high,low,close,volume
1675079100000,23177.00,23193.30,23002.90,23075.20,16591.584
1675080000000,23075.20,23149.50,22930.00,23118.00,16597.123
1675080900000,23118.00,23138.10,23063.20,23114.30,4980.540
1675081800000,23114.20,23137.10,22960.00,23015.20,12690.668
1675082700000,23015.20,23082.00,23010.20,23075.10,5428.248
1675083600000,23075.20,23119.20,23046.80,23119.10,5080.630
1675084500000,23118.90,23129.10,23075.40,23125.20,3525.140
1675085400000,23125.20,23125.20,23064.30,23104.00,3058.043
1675086300000,23104.00,23109.70,23050.00,23055.30,3062.688
1675087200000,23055.20,23176.80,23025.50,23173.30,8839.244
1675088100000,23173.40,23219.00,23141.20,23158.80,6463.587
1675089000000,23158.70,23196.70,23119.20,23194.00,5637.312
1675089900000,23194.10,23282.00,23194.10,23281.60,10365.892
1675090800000,23281.70,23295.80,23220.00,23234.40,5983.928
1675091700000,23234.50,23238.80,23166.00,23186.30,6543.868
1675092600000,23186.20,23187.50,23046.00,23109.90,9986.495
1675093500000,23109.90,23181.00,23061.40,23178.60,6124.321
1675094400000,23178.60,23247.00,23139.60,23215.50,5625.011
1675095300000,23215.20,23236.70,23136.00,23191.40,5393.889
1675096200000,23191.40,23221.40,23151.00,23160.10,3154.209
1675097100000,23160.00,23181.30,23110.00,23170.20,4008.904
1675098000000,23170.30,23215.00,23163.10,23212.30,2646.184
1675098900000,23212.30,23235.00,23139.30,23172.00,4394.705
1675099800000,23172.00,23184.50,23135.30,23164.00,2021.535
1675100700000,23164.00,23164.60,23088.00,23110.20,3684.699
1675101600000,23110.10,23133.20,23068.00,23130.10,4757.040
1675102500000,23130.10,23184.00,23113.70,23124.50,3902.776
1675103400000,23124.50,23140.00,23080.00,23110.70,2290.727
1675104300000,23110.70,23154.30,23100.00,23136.90,2216.487
1675105200000,23137.00,23140.00,22600.00,22792.00,33382.191
1675106100000,22792.00,22850.30,22739.00,22779.90,13134.787
1675107000000,22779.80,22818.70,22656.00,22701.80,13305.221
1675107900000,22701.70,22789.80,22681.00,22783.70,6750.900
1675108800000,22783.60,22809.80,22742.70,22757.70,6320.361
1675109700000,22757.80,22767.50,22550.00,22672.90,16069.689
1675110600000,22673.00,22723.30,22650.10,22715.00,6089.257
1675111500000,22715.10,22726.00,22665.30,22694.00,3667.810
1675112400000,22694.00,22778.90,22691.70,22765.70,5039.401
1675113300000,22765.70,22790.00,22739.20,22760.90,2755.066
1675114200000,22760.80,22789.60,22723.00,22738.60,2544.252
1675115100000,22738.60,22756.90,22677.30,22743.60,3677.785
1675116000000,22743.70,22743.70,22701.10,22729.60,2158.907
1675116900000,22729.60,22768.20,22675.00,22697.20,3380.569
1675117800000,22697.20,22726.80,22484.20,22715.80,10233.264
1675118700000,22715.80,22750.00,22666.80,22729.10,4970.053
1675119600000,22729.00,22748.30,22700.00,22737.60,3384.514
1675120500000,22737.50,22800.00,22729.30,22787.60,4084.910
1675121400000,22787.50,22809.70,22766.00,22789.20,3904.615
