open_time,open,high,low,close,volume
1691118000000,1833.68,1833.95,1832.02,1833.94,12741.839
1691118900000,1833.94,1834.80,1833.04,1834.49,6428.343
1691119800000,1834.49,1834.92,1832.20,1832.65,9959.431
1691120700000,1832.65,1833.50,1831.47,1833.49,7812.365
1691121600000,1833.49,1834.37,1832.81,1832.81,8174.800
1691122500000,1832.81,1832.81,1830.30,1831.57,8418.899
1691123400000,1831.56,1833.26,1830.50,1833.25,8837.853
1691124300000,1833.26,1834.74,1833.06,1834.73,8232.304
1691125200000,1834.74,1835.33,1833.63,1833.99,11627.890
1691126100000,1833.99,1835.39,1833.97,1834.80,6907.793
1691127000000,1834.80,1836.30,1834.71,1836.30,9418.560
1691127900000,1836.30,1836.93,1835.45,1835.45,10179.660
1691128800000,1835.45,1836.50,1834.75,1834.75,7102.179
1691129700000,1834.76,1836.17,1834.26,1835.48,8102.091
1691130600000,1835.48,1835.60,1833.44,1833.99,8564.000
1691131500000,1834.00,1834.25,1832.02,1832.10,13814.675
1691132400000,1832.11,1832.53,1830.67,1832.53,16435.076
1691133300000,1832.53,1832.53,1831.14,1831.14,5723.124
1691134200000,1831.14,1832.99,1830.66,1832.91,11060.445
1691135100000,1832.91,1837.47,1832.82,1836.73,25274.866
1691136000000,1836.73,1840.00,1835.86,1837.67,35426.736
1691136900000,1837.67,1840.30,1836.16,1836.20,12879.212
1691137800000,1836.20,1837.17,1835.66,1835.69,10078.055
1691138700000,1835.69,1835.84,1834.09,1834.47,9892.227
1691139600000,1834.46,1835.82,1833.38,1835.27,12558.045
1691140500000,1835.28,1838.10,1835.15,1837.88,8472.200
1691141400000,1837.89,1838.04,1836.70,1836.81,8251.083
1691142300000,1836.80,1837.81,1836.03,1837.43,5611.378
1691143200000,1837.42,1837.65,1836.69,1836.77,7311.463
1691144100000,1836.78,1836.78,1834.85,1835.34,7690.821
1691145000000,1835.35,1835.55,1834.00,1835.28,12119.197
1691145900000,1835.29,1835.29,1833.31,1834.10,8280.089
1691146800000,1834.10,1834.18,1833.18,1833.83,6232.423
1691147700000,1833.82,1834.42,1833.43,1834.01,5607.699
1691148600000,1834.00,1834.83,1833.18,1833.46,5612.624
1691149500000,1833.45,1835.66,1832.37,1833.77,10480.140
1691150400000,1833.76,1834.50,1832.91,1833.66,9093.731
1691151300000,1833.66,1836.62,1833.45,1836.05,13780.159
1691152200000,1836.05,1845.00,1830.50,1837.84,109761.815
1691153100000,1837.85,1840.88,1836.45,1838.54,30827.192
1691154000000,1838.54,1841.61,1838.49,1841.57,24419.120
1691154900000,1841.58,1841.71,1838.01,1838.65,19081.022
1691155800000,1838.66,1846.37,1838.07,1843.34,49391.366
1691156700000,1843.35,1851.00,1842.35,1842.35,77748.261
1691157600000,1842.35,1842.63,1835.62,1840.61,75960.046
1691158500000,1840.60,1844.72,1839.60,1844.13,20504.271
1691159400000,1844.13,1846.80,1842.02,1842.76,21417.483
1691160300000,1842.76,1850.34,1841.17,1846.47,55039.503
1691161200000,1846.48,1848.18,1845.48,1845.49,19791.822
1691162100000,1845.49,1846.90,1843.77,1846.90,14131.221
1691163000000,1846.90,1847.22,1844.77,1847.17,11706.273
1691163900000,1847.17,1848.65,1846.21,1846.60,18954.449
1691164800000,1846.60,1847.64,1844.11,1846.68,15725.286
1691165700000,1846.68,1847.34,1844.63,1847.29,10181.619
1691166600000,1847.30,1847.51,1843.73,1845.81,12329.292
1691167500000,1845.81,1847.36,1844.46,1847.21,10592.102
1691168400000,1847.21,1848.04,1845.36,1845.59,10910.302
1691169300000,1845.60,1846.00,1842.52,1843.65,14075.152
1691170200000,1843.65,1843.98,1841.61,1842.08,12439.804
1691171100000,1842.09,1842.52,1840.40,1840.62,13860.151
